id_setor_censitario,sigla_uf,v002,v003,v004
355030883000082,SP1,2131950,2131950,0
355030867000103,SP1,302572,302572,0
355030835000035,SP1,7183746,7183746,0
355030867000207,SP1,1438302,1438302,0
355030802000014,SP1,1751711,1751711,0
355030826000129,SP1,246868,246868,0
355030826000141,SP1,608545,608545,0
355030815000126,SP1,720970,720970,0
355030880000171,SP1,813246,813246,0
355030882000070,SP1,491811,491811,0
355030832000099,SP1,5342883,5342883,0
355030860000190,SP1,717787,717787,0
355030894000139,SP1,887100,887100,0
355030826000136,SP1,432328,432328,0
355030862000118,SP1,1594540,1594540,0
355030835000084,SP1,849235,849235,0
355030890000050,SP1,1560180,1560180,0
355030894000099,SP1,1034898,1034898,0
355030862000147,SP1,1353500,1353500,0
355030867000266,SP1,267710,267710,0
355030867000148,SP1,1594730,1594730,0
355030845000025,SP1,2895867,2895867,0
355030867000139,SP1,1765800,1765800,0
355030894000138,SP1,885770,885770,0
355030812000055,SP1,679500,679500,0
355030867000176,SP1,298501,298501,0
355030862000157,SP1,904280,904280,0
355030860000199,SP1,1290880,1290880,0
355030832000067,SP1,1091780,1091780,0
355030883000106,SP1,1155830,1155830,0
355030883000024,SP1,1737710,1737710,0
355030835000122,SP1,1615301,1615301,0
355030832000011,SP1,1003086,1003086,0
355030835000064,SP1,778064,778064,0
355030832000151,SP1,1730968,1730968,0
355030802000045,SP1,2570410,2570410,0
355030848000139,SP1,817370,817370,0
355030812000128,SP1,1485400,1485400,0
355030845000107,SP1,1927134,1927134,0
355030863000222,SP1,203264,203264,0
355030854000082,SP1,833804,833804,0
355030832000046,SP1,1521610,1521610,0
355030869000136,SP1,527588,527588,0
355030832000050,SP1,2380550,2380550,0
355030835000045,SP1,2163266,2163266,0
355030894000189,SP1,1303920,1303920,0
355030826000147,SP1,938000,938000,0
355030883000025,SP1,1217647,1217647,0
355030869000121,SP1,2683151,2683151,0
355030866000029,SP1,426180,426180,0
355030859000203,SP1,228800,228800,0
355030862000163,SP1,1572913,1572913,0
355030845000008,SP1,2343602,2343602,0
355030869000040,SP1,284260,284260,0
355030866000024,SP1,211519,211519,0
355030867000215,SP1,1119452,1119452,0
355030854000076,SP1,793950,793950,0
355030894000137,SP1,885850,885850,0
355030826000115,SP1,1642481,1642481,0
355030845000146,SP1,1119570,1119570,0
355030815000049,SP1,3457590,3457590,0
355030848000133,SP1,3008436,3008436,0
355030867000083,SP1,934607,934607,0
355030834000145,SP1,1704251,1704251,0
355030883000005,SP1,2353830,2353830,0
355030807000143,SP1,372739,372739,0
355030841000081,SP1,410300,410300,0
355030894000266,SP1,894070,894070,0
355030877000204,SP1,324824,324824,0
355030802000039,SP1,2437593,2437593,0
355030802000038,SP1,2318865,2318865,0
355030832000100,SP1,3740660,3740660,0
355030835000145,SP1,4050251,4050251,0
355030854000074,SP1,389980,389980,0
355030835000164,SP1,687803,687803,0
355030845000143,SP1,1004235,1004235,0
355030890000158,SP1,1220627,1220627,0
355030812000121,SP1,537735,537735,0
355030871000103,SP1,1086879,1086879,0
355030867000213,SP1,2133760,2133760,0
355030860000202,SP1,1276251,1276251,0
355030883000093,SP1,1162033,1162033,0
355030812000095,SP1,1161410,1161410,0
355030860000192,SP1,428613,428613,0
355030826000021,SP1,2229007,2229007,0
355030868000042,SP1,388572,388572,0
355030867000140,SP1,873510,873510,0
355030815000127,SP1,1241920,1241920,0
355030895000096,SP1,487190,487190,0
355030860000167,SP1,650950,650950,0
355030880000170,SP1,1319600,1319600,0
355030838000236,SP1,508665,508665,0
355030870000198,SP1,1116550,1116550,0
355030869000127,SP1,2195268,2193368,1900
355030890000120,SP1,552041,550241,1800
355030802000018,SP1,6306938,6306938,0
355030815000023,SP1,1648255,1648255,0
355030859000051,SP1,294450,294450,0
355030883000028,SP1,1822551,1822551,0
355030894000227,SP1,855832,855832,0
355030815000125,SP1,1511363,1511363,0
355030883000090,SP1,1086026,1086026,0
355030871000123,SP1,1874855,1874855,0
355030870000187,SP1,629310,629310,0
355030848000079,SP1,2272459,2272459,0
355030826000113,SP1,1630129,1630129,0
355030812000127,SP1,2089330,2089330,0
355030859000200,SP1,276160,276160,0
355030835000044,SP1,1393162,1393162,0
355030871000079,SP1,7475257,7475257,0
355030848000129,SP1,462354,462354,0
355030854000095,SP1,3493640,3493640,0
355030871000100,SP1,3374247,3374247,0
355030893000057,SP1,295448,295448,0
355030832000109,SP1,3923896,3923896,0
355030870000034,SP1,888635,888635,0
355030807000056,SP1,764330,764330,0
355030832000138,SP1,1832845,1832845,0
355030862000117,SP1,2186923,2186923,0
355030888000059,SP1,1944281,1944281,0
355030835000040,SP1,629735,629735,0
355030826000041,SP1,1719179,1719179,0
355030807000085,SP1,686570,686570,0
355030815000085,SP1,2964685,2964685,0
355030860000187,SP1,1094301,1094301,0
355030842000210,SP1,285870,285870,0
355030835000026,SP1,558075,558075,0
355030826000118,SP1,1512774,1512774,0
355030871000126,SP1,2166384,2166384,0
355030894000253,SP1,1506772,1506772,0
355030845000038,SP1,1164102,1164102,0
355030845000193,SP1,2825937,2825937,0
355030888000027,SP1,1022030,1022030,0
355030870000074,SP1,376369,372039,4330
355030835000132,SP1,1627058,1627058,0
355030867000104,SP1,423860,423860,0
355030812000105,SP1,561936,561936,0
355030815000026,SP1,2829109,2829109,0
355030834000102,SP1,334395,332395,2000
355030888000058,SP1,1517450,1517450,0
355030845000137,SP1,1019880,1019880,0
355030862000059,SP1,1589329,1589329,0
355030845000173,SP1,1155833,1155833,0
355030812000092,SP1,655448,655448,0
355030832000097,SP1,2291673,2291673,0
355030883000105,SP1,1631170,1631170,0
355030826000045,SP1,1276708,1276708,0
355030862000062,SP1,1760162,1760162,0
355030862000138,SP1,706034,706034,0
355030894000244,SP1,2376791,2376791,0
355030870000215,SP1,431811,431811,0
355030854000105,SP1,732837,732837,0
355030894000078,SP1,647682,647682,0
355030867000050,SP1,514380,514380,0
355030826000108,SP1,621195,621195,0
355030832000176,SP1,954400,954400,0
355030815000109,SP1,203820,203820,0
355030854000024,SP1,1675200,1675200,0
355030860000212,SP1,744402,744402,0
355030832000028,SP1,2334512,2334512,0
355030835000005,SP1,596342,596342,0
355030845000048,SP1,2271520,2271520,0
355030888000057,SP1,2895630,2895630,0
355030848000138,SP1,650710,650710,0
355030894000186,SP1,1672467,1672467,0
355030848000051,SP1,1394482,1394482,0
355030802000041,SP1,2482053,2482053,0
355030802000043,SP1,7029761,7029761,0
355030832000117,SP1,898501,898501,0
355030845000118,SP1,3697895,3697895,0
355030869000090,SP1,1168770,1168770,0
355030832000038,SP1,1393927,1393927,0
355030867000141,SP1,987010,987010,0
355030835000012,SP1,611678,611678,0
355030862000152,SP1,3326510,3326510,0
355030868000313,SP1,254507,254507,0
355030815000051,SP1,1844041,1844041,0
355030815000135,SP1,1162625,1162625,0
355030812000039,SP1,370376,370376,0
355030815000046,SP1,1639901,1639901,0
355030890000096,SP1,2923120,2923120,0
355030862000136,SP1,997979,997979,0
355030835000062,SP1,882459,882459,0
355030877000205,SP1,786375,786375,0
355030845000028,SP1,1176131,1176131,0
355030860000211,SP1,1500959,1498659,2300
355030862000125,SP1,1002340,1002340,0
355030845000084,SP1,1484424,1482424,2000
355030867000143,SP1,1301070,1301070,0
355030815000084,SP1,3192784,3192784,0
355030832000025,SP1,2268821,2268821,0
355030812000091,SP1,806080,806080,0
355030848000131,SP1,910910,910910,0
355030893000144,SP1,551990,551990,0
355030826000023,SP1,2259368,2259368,0
355030826000111,SP1,1380772,1380772,0
355030854000042,SP1,1788763,1788763,0
355030860000173,SP1,911341,911341,0
355030894000171,SP1,573192,573192,0
355030835000184,SP1,1566147,1566147,0
355030832000056,SP1,1184551,1184551,0
355030890000098,SP1,2346459,2346459,0
355030838000146,SP1,412405,412405,0
355030845000149,SP1,806530,806530,0
355030835000109,SP1,1131086,1131086,0
355030842000212,SP1,204912,204912,0
355030862000166,SP1,748954,748954,0
355030826000012,SP1,1838168,1838168,0
355030845000027,SP1,1536452,1536452,0
